명사,분류
bedroom,일반명사
window,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
garden,일반명사
cat,일반명사
Privet Drive,기관/단체
something,일반명사
things,일반명사
anything,일반명사
Potters,일반명사
pair,일반명사
Dursleys,기관/단체
bed,일반명사
Dursley,인물
Mr. Dursley,인물
awake,일반명사
mind,일반명사
thought,일반명사
Potters,기관/단체
reason,일반명사
Dursley,일반명사
Potters,기관/단체
Petunia,인물
kind,일반명사
Petunia,지명(국가/도시)
anything,일반명사
Mr. Dursley,인물
sleep,일반명사
cat,일반명사
wall,일반명사
outside,일반명사
sign,일반명사
sleepiness,일반명사
statue,일반명사
eyes,일반명사
corner,일반명사
Privet Drive,기관/단체
quiver,일반명사
car,일반명사
door,일반명사
street,일반명사
owls,일반명사
fact,일반명사
cat,일반명사
man,일반명사
corner,일반명사
cat,일반명사
ground,일반명사
cat,일반명사
tail,일반명사
eyes,일반명사
man,일반명사
Privet Drive,기관/단체
judging,일반명사
silver,일반명사
hair,일반명사
beard,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
belt,일반명사
robes,일반명사
cloak,일반명사
ground,일반명사
boots,일반명사
eyes,일반명사
spectacles,일반명사
nose,일반명사
man,일반명사
name,일반명사
Albus Dumbledore,인물
Albus Dumbledore,인물
didn,일반명사
street,일반명사
everything,일반명사
name,일반명사
boots,일반명사
cloak,일반명사
something,일반명사
cat,일반명사
end,일반명사
street,일반명사
reason,일반명사
sight,일반명사
cat,일반명사
inside,일반명사
pocket,일반명사
silver,일반명사
cigarette,일반명사
lighter,일반명사
air,일반명사
street,일반명사
pop,일반명사
lamp,일반명사
darkness,일반명사
Twelve,인물
lights,일반명사
street,일반명사
pinpricks,일반명사
distance,일반명사
eyes,일반명사
cat,일반명사
anyone,일반명사
window,일반명사
Dursley,일반명사
anything,일반명사
pavement,일반명사
Dumbledore,인물
Outer,일반명사
cloak,일반명사
street,일반명사
number,일반명사
wall,일반명사
cat,일반명사
look,일반명사
moment,일반명사
Fancy,일반명사
Professor,인물
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
tabby,일반명사
woman,일반명사
glasses,일반명사
shape,일반명사
markings,일반명사
cat,일반명사
eyes,일반명사
cloak,일반명사
emerald,일반명사
hair,일반명사
bun,일반명사
dear,일반명사
Professor,일반명사
sit,일반명사
brick,일반명사
wall,일반명사
day,일반명사
Professor McGonagall,인물
day,일반명사
dozen,일반명사
feasts,일반명사
parties,일반명사
way,일반명사
Professor,일반명사
McGonagall,일반명사
Oh,일반명사
everyone,일반명사
celebrating,일반명사
right,일반명사
bit,일반명사
Muggles,일반명사
something,일반명사
head,일반명사
Dursleys,기관/단체
window,일반명사
Flocks,일반명사
owls,일반명사
stars,일반명사
something,일반명사
stars,일반명사
Kent,지명(국가/도시)
bet,일반명사
Dedalus Diggle,인물
Dumbledore,인물
ve,일반명사
Professor McGonagall,인물
reason,일반명사
heads,일반명사
People,일반명사
careless,일반명사
streets,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
daylight,일반명사
Muggle,지명(국가/도시)
clothes,일반명사
glance,일반명사
Dumbledore,기관/단체
something,일반명사
thing,일반명사
day,일반명사
Muggles,인물
Dumbledore,지명(국가/도시)
Dumbledore,인물
drop,일반명사
drop,일반명사
kind,일반명사
Muggle,지명(국가/도시)
sweet,일반명사
fond,일반명사
No,일반명사
thank,일반명사
Professor McGonagall,인물
moment,일반명사
drops,일반명사
My,일반명사
dear,일반명사
Professor,일반명사
person,일반명사
name,일반명사
nonsense,일반명사
years,일반명사
people,일반명사
name,일반명사
Professor,일반명사
McGonagall,일반명사
Dumbledore,인물
drops,일반명사
reason,일반명사
Voldemort,인물
Professor McGonagall,인물
half,일반명사
half,일반명사
Everyone,일반명사
oh,일반명사
right,일반명사
Voldemort,인물
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dumbledore,인물
calmly,일반명사
Voldemort,인물
powers,일반명사
dark,일반명사
Madam Pomfrey,인물
Professor,일반명사
McGonagall,일반명사
look,일반명사
Dumbledore,기관/단체
owls,일반명사
nothing,일반명사
rumors,일반명사
everyone,일반명사
Professor McGonagall,인물
point,일반명사
reason,일반명사
wall,일반명사
day,일반명사
cat,일반명사
woman,일반명사
Dumbledore,인물
stare,일반명사
plain,일반명사
everyone,일반명사
Dumbledore,인물
Dumbledore,인물
drop,일반명사
saying,일반명사
night,일반명사
Voldemort,인물
Godric,지명(국가/도시)
Hollow,인물
Potters,기관/단체
rumor,일반명사
Lily,인물
James Potter,인물
Dumbledore,일반명사
head,일반명사
Professor,일반명사
McGonagall,일반명사
Lily,기관/단체
James,인물
Albus,인물
Dumbledore,인물
shoulder,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Professor,일반명사
McGonagall,기관/단체
voice,일반명사
Potters,기관/단체
son,일반명사
Harry,인물
kill,일반명사
boy,일반명사
one,일반명사
kill,일반명사
Harry Potter,인물
Voldemort,인물
power,일반명사
somehow,일반명사
Dumbledore,일반명사
Professor McGonagall,인물
people,일반명사
boy,일반명사
things,일반명사
name,일반명사
heaven,일반명사
Harry,인물
Dumbledore,인물
Professor,일반명사
McGonagall,일반명사
lace,일반명사
handkerchief,일반명사
dabbed,일반명사
eyes,일반명사
spectacles,일반명사
Dumbledore,인물
sniff,일반명사
watch,일반명사
pocket,일반명사
watch,일반명사
hands,일반명사
numbers,일반명사
planets,일반명사
edge,일반명사
sense,일반명사
Dumbledore,지명(국가/도시)
pocket,일반명사
Hagrid,인물
way,일반명사
Yes,일반명사
Professor McGonagall,인물
suppose,일반명사
places,일반명사
Harry,인물
aunt,일반명사
uncle,일반명사
family,일반명사
mean,일반명사
people,일반명사
Professor McGonagall,인물
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
feet,일반명사
number,일반명사
Dumbledore,인물
day,일반명사
people,일반명사
son,일반명사
mother,일반명사
way,일반명사
street,일반명사
sweets,일반명사
Harry Potter,인물
place,일반명사
Dumbledore,인물
aunt,일반명사
uncle,일반명사
everything,일반명사
letter,일반명사
Professor McGonagall,인물
wall,일반명사
Dumbledore,지명(국가/도시)
letter,일반명사
people,일반명사
legend,일반명사
today,일반명사
Harry Potter,인물
Day,일반명사
future,일반명사
books,일반명사
Harry,인물
child,일반명사
world,일반명사
name,일반명사
Exactly,일반명사
Dumbledore,인물
top,일반명사
glasses,일반명사
head,일반명사
Famous,일반명사
something,일반명사
Can,일반명사
Professor,일반명사
McGonagall,일반명사
mouth,일반명사
mind,일반명사
Yes,일반명사
course,일반명사
boy,일반명사
Dumbledore,지명(국가/도시)
cloak,일반명사
Harry,인물
Hagrid,인물
Hagrid,인물
something,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Hagrid,인물
life,일반명사
Dumbledore,인물
heart,일반명사
isn,일반명사
place,일반명사
Professor McGonagall,인물
pretend,일반명사
sound,일반명사
silence,일반명사
street,일반명사
sign,일반명사
headlight,일반명사
roar,일반명사
sky,일반명사
motorcycle,일반명사
air,일반명사
road,일반명사
front,일반명사
motorcycle,일반명사
nothing,일반명사
man,일반명사
man,일반명사
times,일반명사
tangles,일반명사
hair,일반명사
beard,일반명사
hid,일반명사
face,일반명사
size,일반명사
trash,일반명사
feet,일반명사
leather,일반명사
boots,일반명사
baby,일반명사
dolphins,일반명사
vast,일반명사
arms,일반명사
bundle,일반명사
blankets,일반명사
Hagrid,지명(국가/도시)
Dumbledore,인물
motorcycle,일반명사
Professor Dumbledore,인물
sir,일반명사
motorcycle,일반명사
Young,일반명사
Sirius Black,인물
problems,일반명사
No,기관/단체
house,일반명사
Muggles,인물
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dumbledore,일반명사
Professor,기관/단체
McGonagall,일반명사
bent,일반명사
bundle,일반명사
blankets,일반명사
Inside,인물
baby,일반명사
boy,일반명사
tuft,일반명사
hair,일반명사
forehead,일반명사
cut,일반명사
bolt,일반명사
Professor McGonagall,인물
Dumbledore,인물
Hell,일반명사
scar,일반명사
Couldn,일반명사
something,일반명사
Dumbledore,지명(국가/도시)
Scars,일반명사
knee,일반명사
map,일반명사
London Underground,기관/단체
Well,인물
Hagrid,인물
get,일반명사
Dumbledore,인물
Harry,인물
arms,일반명사
Dursleys,기관/단체
house,일반명사
Could,일반명사
sir,일반명사
Hagrid,인물
head,일반명사
Harry,인물
kiss,일반명사
Hagrid,인물
howl,일반명사
dog,일반명사
Shhh,일반명사
Professor McGonagall,인물
Muggles,기관/단체
Hagrid,지명(국가/도시)
handkerchief,일반명사
face,일반명사
Lily,기관/단체
James,인물
Harry,인물
ter,일반명사
Muggles,인물
Yes,일반명사
grip,일반명사
Hagrid,지명(국가/도시)
Professor,일반명사
McGonagall,일반명사
Hagrid,인물
arm,일반명사
Dumbledore,인물
garden,일반명사
wall,일반명사
door,일반명사
Harry,인물
Page,기관/단체
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
doorstep,일반명사
letter,일반명사
cloak,일반명사
Harry,인물
blankets,일반명사
minute,일반명사
bundle,일반명사
Hagrid,인물
shoulders,일반명사
Professor McGonagall,인물
twinkling,일반명사
light,일반명사
Dumbledore,기관/단체
eyes,일반명사
Dumbledore,인물
business,일반명사
Yeah,일반명사
Hagrid,인물
voice,일반명사
bike,일반명사
night,일반명사
Professor,인물
McGonagall,기관/단체
Professor,일반명사
Dumbledore,일반명사
eyes,일반명사
jacket,일반명사
sleeve,일반명사
Hagrid,인물
motorcycle,일반명사
engine,일반명사
life,일반명사
roar,일반명사
air,일반명사
night,일반명사
Professor McGonagall,인물
Dumbledore,인물
Professor,일반명사
McGonagall,일반명사
nose,일반명사
reply,일반명사
Dumbledore,인물
street,일반명사
corner,일반명사
Outer,일반명사
balls,일반명사
light,일반명사
street,일반명사
lamps,일반명사
Privet Drive,인물
orange,일반명사
tabby,일반명사
cat,일반명사
corner,일반명사
end,일반명사
street,일반명사
bundle,일반명사
blankets,일반명사
step,일반명사
number,일반명사
Good,기관/단체
luck,일반명사
Harry,인물
heel,일반명사
swish,일반명사
cloak,일반명사
breeze,일반명사
hedges,일반명사
Privet Drive,기관/단체
silent,일반명사
tidy,일반명사
inky,일반명사
sky,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
place,일반명사
things,일반명사
Harry Potter,인물
blankets,일반명사
hand,일반명사
letter,일반명사
hours,일반명사
time,일반명사
Dursley,인물
scream,일반명사
door,일반명사
milk,일반명사
bottles,일반명사
weeks,일반명사
cousin,일반명사
Dudley,인물
moment,일반명사
people,일반명사
meeting,일반명사
country,일반명사
glasses,일반명사
voices,일반명사
Harry Potter,인물
boy,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
THE,기관/단체
VANASHIG,기관/단체
GLASS,기관/단체
Nearly,일반명사
years,일반명사
Dursleys,기관/단체
nephew,일반명사
step,일반명사
Privet Drive,인물
sun,일반명사
tidy,일반명사
front,일반명사
gardens,일반명사
brass,일반명사
number,일반명사
Dursleys,기관/단체
door,일반명사
living,일반명사
room,일반명사
night,일반명사
Mr. Dursley,인물
news,일반명사
report,일반명사
owls,일반명사
photographs,일반명사
mantelpiece,일반명사
time,일반명사
years,일반명사
lots,일반명사
pictures,일반명사
beach,일반명사
ball,일반명사
bonnets,일반명사
Dudley Dursley,인물
baby,일반명사
photographs,일반명사
blond,일반명사
boy,일반명사
bicycle,일반명사
carousel,일반명사
fair,일반명사
computer,일반명사
game,일반명사
father,일반명사
mother,일반명사
room,일반명사
sign,일반명사
boy,일반명사
house,일반명사
Harry Potter,인물
asleep,일반명사
moment,일반명사
Aunt Petunia,기관/단체
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
voice,일반명사
noise,일반명사
day,일반명사
Harry,인물
start,일반명사
aunt,일반명사
door,일반명사
Harry,인물
walking,일반명사
kitchen,일반명사
sound,일반명사
frying,일반명사
pan,일반명사
stove,일반명사
back,일반명사
dream,일반명사
one,일반명사
motorcycle,일반명사
feeling,일반명사
dream,일반명사
aunt,일반명사
door,일반명사
Harry,인물
Well,일반명사
move,일반명사
bacon,일반명사
everything,일반명사
perfect,일반명사
Duddy,인물
Harry,인물
aunt,일반명사
door,일반명사
Nothing,일반명사
nothing,일반명사
Dudley,인물
Harry,인물
bed,일반명사
socks,일반명사
pair,일반명사
bed,일반명사
Harry,인물
spiders,일반명사
cupboard,일반명사
stairs,일반명사
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
hall,일반명사
kitchen,일반명사
table,일반명사
beneath,일반명사
Dudley,인물
presents,일반명사
Dudley,인물
computer,일반명사
television,일반명사
racing,일반명사
bike,일반명사
Dudley,인물
bike,일반명사
mystery,일반명사
Harry,인물
Dudley,인물
exercise,일반명사
course,일반명사
somebody,일반명사
Dudley,인물
punching,일반명사
bag,일반명사
Harry,인물
Harry,인물
look,일반명사
something,일반명사
living,일반명사
cupboard,일반명사
Harry,인물
age,일반명사
clothes,일반명사
Dudley,인물
Dudley,인물
times,일반명사
Harry,인물
face,일반명사
knees,일반명사
hair,일반명사
eyes,일반명사
round,일반명사
glasses,일반명사
lot,일반명사
Scotch,지명(국가/도시)
tape,일반명사
times,일반명사
Dudley,인물
nose,일반명사
thing,일반명사
Harry,인물
appearance,일반명사
scar,일반명사
forehead,일반명사
bolt,일반명사
lightning,일반명사
question,일반명사
Aunt Petunia,기관/단체
car,일반명사
crash,일반명사
parents,일반명사
ask,일반명사
Don,일반명사
ask,일반명사
questions,일반명사
rule,일반명사
life,일반명사
Dursleys,기관/단체
Uncle Vernon,인물
kitchen,일반명사
Harry,인물
bacon,일반명사
Comb,일반명사
hair,일반명사
way,일반명사
morning,일반명사
greeting,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
week,일반명사
Uncle Vernon,인물
top,일반명사
newspaper,일반명사
Harry,인물
haircut,일반명사
Harry,인물
haircuts,일반명사
rest,일반명사
boys,일반명사
class,일반명사
difference,일반명사
hair,일반명사
way,일반명사
place,일반명사
Harry,인물
eggs,일반명사
time,일반명사
Dudley,인물
kitchen,일반명사
mother,일반명사
Dudley,인물
lot,일반명사
Uncle Vernon,인물
face,일반명사
neck,일반명사
eyes,일반명사
blond,일반명사
hair,일반명사
thick,일반명사
head,일반명사
Aunt Petunia,인물
Dudley,인물
baby,일반명사
angel,일반명사
Harry,인물
Dudley,인물
pig,일반명사
wig,일반명사
Harry,인물
plates,일반명사
egg,일반명사
bacon,일반명사
table,일반명사
room,일반명사
Dudley,인물
presents,일반명사
face,일반명사
mother,일반명사
father,일반명사
Darling,일반명사
Auntie Marge,인물
present,일반명사
Mommy,지명(국가/도시)
All,일반명사
Dudley,인물
face,일반명사
Harry,인물
Dudley,지명(국가/도시)
tantrum,일반명사
bacon,일반명사
case,일반명사
Dudley,인물
table,일반명사
Aunt Petunia,인물
danger,일반명사
buy,일반명사
presents,일반명사
today,일반명사
presents,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dudley,인물
moment,일반명사
work,일반명사
So,일반명사
ll,일반명사
thirty,일반명사
thirty,일반명사
sweetums,일반명사
Aunt Petunia,인물
Dudley,인물
parcel,일반명사
Uncle,일반명사
Vernon,인물
tyke,일반명사
money,일반명사
worth,일반명사
father,일반명사
Atta,일반명사
boy,일반명사
Dudley,인물
Dudley,인물
hair,일반명사
moment,일반명사
telephone,일반명사
rang,일반명사
Aunt Petunia,인물
Harry,인물
Uncle Vernon,인물
Dudley,인물
racing,일반명사
bike,일반명사
video,일반명사
camera,일반명사
control,일반명사
airplane,일반명사
computer,일반명사
games,일반명사
VCR,기관/단체
paper,일반명사
gold,일반명사
wristwatch,일반명사
Aunt Petunia,인물
telephone,일반명사
Bad,기관/단체
news,일반명사
Vernon,지명(국가/도시)
Mrs,일반명사
Figg,인물
leg,일반명사
head,일반명사
Harry,인물
direction,일반명사
Dudley,인물
mouth,일반명사
horror,일반명사
Harry,인물
heart,일반명사
leap,일반명사
year,일반명사
Dudley,인물
birthday,일반명사
parents,일반명사
friend,일반명사
day,일반명사
parks,일반명사
hamburger,일반명사
restaurants,일반명사
movies,일반명사
year,일반명사
Harry,인물
Figg,일반명사
lady,일반명사
streets,일반명사
Harry,인물
house,일반명사
cabbage,일반명사
Figg,인물
photographs,일반명사
cats,일반명사
Aunt Petunia,인물
Harry,기관/단체
Harry,인물
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
sorry,일반명사
Figg,인물
leg,일반명사
year,일반명사
Tibbies,지명(국가/도시)
Snowy,인물
Mr. Paws,인물
Tufty,인물
phone,일반명사
Marge,인물
Uncle,일반명사
Vernon,인물
Don,인물
Vernon,지명(국가/도시)
Dursleys,기관/단체
Harry,인물
something,일반명사
couldn,일반명사
slug,일반명사
friend,일반명사
Yvonne,인물
vacation,일반명사
Majorca,지명(국가/도시)
Aunt Petunia,인물
Harry,인물
television,일반명사
change,일반명사
go,일반명사
Dudley,인물
computer,일반명사
Aunt Petunia,인물
lemon,일반명사
house,일반명사
ruins,일반명사
blow,일반명사
house,일반명사
Harry,인물
listening,일반명사
zoo,일반명사
Aunt Petunia,인물
car,일반명사
cars,일반명사
Page,일반명사
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Dudley,인물
fact,일반명사
years,일반명사
face,일반명사
mother,일반명사
anything,일반명사
Dinky Duddydums,인물
don,일반명사
cry,일반명사
Mummy,인물
day,일반명사
arms,일반명사
don,일반명사
come,일반명사
Dudley,인물
sobs,일반명사
spoils,일반명사
everything,일반명사
Harry,인물
grin,일반명사
gap,일반명사
mothers,일반명사
arms,일반명사
doorbell,일반명사
rang,일반명사
Oh,일반명사
Lord,일반명사
re,일반명사
Aunt Petunia,인물
moment,일반명사
Dudley,인물
friend,일반명사
Piers Polkiss,인물
mother,일반명사
Piers,인물
boy,일반명사
face,일반명사
rat,일반명사
one,일반명사
people,일반명사
arms,일반명사
backs,일반명사
Dudley,인물
Dudley,인물
hour,일반명사
Harry,인물
luck,일반명사
back,일반명사
Dursleys,기관/단체
car,일반명사
Piers,인물
Dudley,인물
way,일반명사
zoo,일반명사
time,일반명사
life,일반명사
aunt,일반명사
uncle,일반명사
hadn,일반명사
anything,일반명사
left,일반명사
Uncle Vernon,인물
Harry,인물
warning,일반명사
face,일반명사
Harry,인물
warning,일반명사
business,일반명사
anything,일반명사
cupboard,일반명사
anything,일반명사
Harry,인물
Page,인물
Harry Potter,인물
Philosophers Stone,기관/단체
Rowling,일반명사
Uncle Vernon,인물
didn,일반명사
problem,일반명사
things,일반명사
Harry,인물
Dursleys,일반명사
Aunt Petunia,인물
Harry,인물
barbers,일반명사
pair,일반명사
kitchen,일반명사
scissors,일반명사
hair,일반명사
bangs,일반명사
Dudley,인물
Harry,기관/단체
sleepless,일반명사
night,일반명사
school,일반명사
day,일반명사
baggy,일반명사
clothes,일반명사
glasses,일반명사
morning,일반명사
hair,일반명사
Aunt Petunia,인물
week,일반명사
cupboard,일반명사
time,일반명사
Aunt Petunia,인물
sweater,일반명사
Dudley,인물
orange,일반명사
puff,일반명사
balls,일반명사
harder,일반명사
head,일반명사
hand,일반명사
puppet,일반명사
fit,일반명사
Harry,인물
Aunt Petunia,인물
wash,일반명사
relief,일반명사
Harry,인물
hand,일반명사
gotten,일반명사
trouble,일반명사
roof,일반명사
school,일반명사
kitchens,일반명사
Dudley,인물
gang,일반명사
Harry,인물
anyone,일반명사
chimney,일반명사
Dursleys,기관/단체
letter,일반명사
Harry,인물
headmistress,일반명사
